arch,seed,checkpoint,training,condition,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,4,compact_phoneft_s4,phone_augmented,phone_all,85.23809523809524,42.857142857142854,93.71428571428571,0.8029795918367346,81.42857142857143,88.57738095238095,32.0,54.38995215311004,90.82647843485995,96.16524473283665,0.7364249311654117,0.8618338014619802
full,0,full_faithful_s0,clean,clean,87.38095238095238,94.28571428571429,86.0,0.9770612244897959,84.04761904761905,90.47619047619048,88.30977845683728,98.66666666666667,82.10921282414577,89.42857142857143,0.9603440428542195,0.9903092197550958
full,0,full_faithful_s0,clean,phone_all,37.61904761904762,92.85714285714286,26.571428571428573,0.7080816326530612,33.095238095238095,42.38095238095238,86.29768177028451,98.48541383989145,22.156595887406798,31.3394538606403,0.638907767219089,0.773595279233379
full,0,full_faithful_s0,clean,only_brightness,63.80952380952381,84.28571428571429,59.714285714285715,0.7872857142857143,59.285714285714285,68.57142857142857,76.26916868442292,92.54530916844348,54.43732193732193,64.76017197280743,0.734445901932605,0.8371398403895413
full,0,full_faithful_s0,clean,only_blur,57.61904761904762,98.57142857142857,49.42857142857143,0.9429795918367346,52.61904761904762,62.38095238095238,95.23617511520737,100.0,44.134078212290504,54.36681562462594,0.9103537267005785,0.9708103438305283
full,0,full_faithful_s0,clean,only_moire,57.857142857142854,94.28571428571429,50.57142857142857,0.8671632653061225,53.089285714285715,62.61904761904762,88.56644518272425,98.6671052631579,45.32429136564024,55.49452269170579,0.8163067027869518,0.912991847935752
full,0,full_faithful_s0,clean,only_rotation,77.85714285714286,95.71428571428571,74.28571428571429,0.9740000000000001,73.80357142857143,81.66666666666667,90.35650799920995,100.0,69.68750511716254,78.61518595877656,0.9535833073870076,0.9899533787394512
full,0,full_faithful_s0,clean,only_glare,39.523809523809526,100.0,27.428571428571427,0.9308163265306123,34.76190476190476,44.76190476190476,100.0,100.0,22.61878881987578,32.55149014526359,0.8940671349216429,0.9596354596439324
full,0,full_phoneft_s0,phone_augmented,clean,90.23809523809524,60.0,96.28571428571429,0.9248163265306123,87.38095238095238,93.0952380952381,49.253157290470725,71.42857142857143,94.22479224133387,98.03398248697508,0.889328957774055,0.9569768053054554
full,0,full_phoneft_s0,phone_augmented,phone_all,86.66666666666667,74.28571428571429,89.14285714285714,0.8878367346938776,83.0952380952381,90.0,63.998360655737706,84.05969634230503,85.51045105383444,92.41573033707866,0.841254008646348,0.9263811590108735
full,1,full_faithful_s1,clean,clean,94.52380952380952,84.28571428571429,96.57142857142857,0.9689795918367347,92.14285714285714,96.42857142857143,75.94718463553035,92.54272117672507,94.58598244020587,98.35671973343207,0.942822583180377,0.9883716303140166
full,1,full_faithful_s1,clean,phone_all,40.476190476190474,85.71428571428571,31.428571428571427,0.6665714285714286,35.95238095238095,45.476190476190474,76.80536684782608,93.59126984126983,26.62837748289515,36.33786997885835,0.5998736384618033,0.7275645776805363
full,1,full_faithful_s1,clean,only_brightness,65.23809523809524,71.42857142857143,64.0,0.7257755102040816,60.714285714285715,69.76190476190476,60.869565217391305,82.54285714285714,59.40927861115793,68.8055112777608,0.6600639809677441,0.7888225375159642
full,1,full_faithful_s1,clean,only_blur,69.04761904761905,92.85714285714286,64.28571428571429,0.9198571428571428,64.76190476190476,73.80952380952381,86.15384615384616,98.48596256684492,59.648007731192386,69.61361585587868,0.8743748860102833,0.9591909633171452
full,1,full_faithful_s1,clean,only_moire,77.14285714285714,87.14285714285714,75.14285714285714,0.8714081632653061,73.0952380952381,81.19047619047619,78.94338118022328,94.73684210526316,70.61978059989129,79.72346866096866,0.8162042648644114,0.9219141804693574
full,1,full_faithful_s1,clean,only_rotation,87.38095238095238,87.14285714285714,87.42857142857143,0.9413061224489796,84.28571428571429,90.47619047619048,79.4510475423046,94.11764705882354,84.12209976331171,90.80525639758916,0.9029259018395329,0.9740100635776411
full,1,full_faithful_s1,clean,only_glare,44.76190476190476,100.0,33.714285714285715,0.8963469387755102,39.99404761904762,49.523809523809526,100.0,100.0,28.77592540147931,38.6370243128964,0.8650581143632349,0.9268426046365512
full,1,full_phoneft_s1,phone_augmented,clean,91.9047619047619,55.714285714285715,99.14285714285714,0.941469387755102,89.04761904761905,94.52380952380952,44.59084084084084,67.24137931034483,98.05528398510242,100.0,0.9075364383335397,0.9676914086281561
full,1,full_phoneft_s1,phone_augmented,phone_all,88.57142857142857,72.85714285714286,91.71428571428571,0.8885714285714286,85.47619047619048,91.66666666666667,61.97015425888666,82.61379076086955,88.73606523534269,94.58689458689459,0.8356234193017874,0.9323693419041514
full,2,full_faithful_s2,clean,clean,88.80952380952381,85.71428571428571,89.42857142857143,0.9567755102040816,85.71428571428571,91.66666666666667,76.47058823529412,93.42159188955996,85.92364832979405,92.55037778005185,0.9285668164630448,0.9810080205211962
full,2,full_faithful_s2,clean,phone_all,38.57142857142857,92.85714285714286,27.714285714285715,0.6800816326530612,34.04761904761905,43.333333333333336,86.36207970112079,98.46212121212122,23.099394613293796,32.314234138902286,0.6129558138530065,0.7419864734299517
full,2,full_faithful_s2,clean,only_brightness,60.476190476190474,78.57142857142857,56.857142857142854,0.7355306122448979,55.95238095238095,65.0,69.33333333333333,88.23774509803921,52.04590139140956,61.93181818181818,0.6773520569341983,0.7928239556582777
full,2,full_faithful_s2,clean,only_blur,77.38095238095238,88.57142857142857,75.14285714285714,0.9290612244897959,73.33333333333333,81.19047619047619,79.9927536231884,95.31430288461539,70.7374118338558,79.49048913043478,0.8851768383942624,0.9641347396273848
full,2,full_faithful_s2,clean,only_moire,56.19047619047619,90.0,49.42857142857143,0.8499591836734695,51.42857142857143,60.95238095238095,81.81818181818181,96.1556603773585,44.191985363550515,54.7267156862745,0.793227825408231,0.8985831966269047
full,2,full_faithful_s2,clean,only_rotation,82.14285714285714,90.0,80.57142857142857,0.942530612244898,78.0952380952381,85.71428571428571,81.9662255579696,96.49274047186933,76.13636363636364,84.83210272873194,0.9060673753345233,0.9721636692067686
full,2,full_faithful_s2,clean,only_glare,45.714285714285715,98.57142857142857,35.142857142857146,0.9069183673469388,40.714285714285715,50.714285714285715,94.93398079441292,100.0,30.250108664155317,40.63510477213892,0.8665529063593204,0.944086213005317
full,2,full_phoneft_s2,phone_augmented,clean,88.80952380952381,58.57142857142857,94.85714285714286,0.9011836734693878,85.47619047619048,91.9047619047619,46.75108225108225,68.921298058622,92.2856930902925,97.15140069247718,0.8549295104312598,0.9380594828932979
full,2,full_phoneft_s2,phone_augmented,phone_all,79.52380952380952,74.28571428571429,80.57142857142857,0.8606938775510206,75.71428571428571,83.57142857142857,63.63636363636363,84.21052631578948,76.3156082354647,84.59511434511434,0.8108838576318,0.9077128328342253
full,3,full_faithful_s3,clean,clean,93.0952380952381,90.0,93.71428571428571,0.9796734693877551,90.71428571428571,95.47619047619048,82.34891216760677,96.10514485514486,91.19318181818181,96.14271855740698,0.9641471530586175,0.9917360195486697
full,3,full_faithful_s3,clean,phone_all,40.0,87.14285714285714,30.571428571428573,0.7188163265306122,35.476190476190474,45.0,78.86862156545831,94.2877263581489,25.936599423631122,35.40059827994515,0.6486024664441948,0.7856701974392958
full,3,full_faithful_s3,clean,only_brightness,65.0,77.14285714285714,62.57142857142857,0.7725102040816326,60.476190476190474,69.52380952380952,67.12283705839943,86.56965174129353,57.680052624984334,67.60624440283318,0.7160624642821015,0.8255873295848764
full,3,full_faithful_s3,clean,only_blur,82.85714285714286,94.28571428571429,80.57142857142857,0.9581224489795919,79.04761904761905,86.66666666666667,87.87776412776412,98.7012987012987,76.21742006704709,84.83345522239212,0.9299651809434868,0.9806212408678231
full,3,full_faithful_s3,clean,only_moire,79.28571428571429,82.85714285714286,78.57142857142857,0.8918775510204081,75.71428571428571,83.33333333333333,72.6027397260274,91.04806848112379,74.63408607995257,82.91316526610645,0.8413794604742477,0.9373339321524063
full,3,full_faithful_s3,clean,only_rotation,89.28571428571429,91.42857142857143,88.85714285714286,0.965265306122449,86.66666666666667,92.14285714285714,84.52339034205231,97.29729729729729,85.67333149013892,92.00082417582418,0.9396716334308449,0.9854572111606454
