arch,seed,schedule,kind,target_sparsity,actual_sparsity,channel_sparsity,acc_pre_ft,sens_pre_ft,size_mb,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
compact,1,one-shot,structured,0.5,32.68354126679463,33.69565217391305,16.666666666666668,100.0,1.0695600509643555,98.0952380952381,90.0,99.71428571428571,0.9939591836734694,96.9047619047619,99.28571428571429,82.6086956521739,96.72263352723427,99.09908789386401,100.0,0.9836727752012681,0.9996697755430675
compact,1,one-shot,structured,0.75,49.02531190019194,50.54347826086956,16.666666666666668,100.0,1.0695600509643555,98.0952380952381,88.57142857142857,100.0,0.9900408163265306,96.66666666666667,99.05357142857143,80.72236313675756,94.9382911392405,100.0,100.0,0.9689554300238962,0.9997729010235771
compact,1,iterative,unstructured,0.7521241088917505,75.21255698176583,0.0,,,1.0692758560180664,99.04761904761905,94.28571428571429,100.0,0.9986122448979591,98.0952380952381,99.76190476190476,88.30538864120955,98.68463773069037,100.0,100.0,0.9961246486697508,1.0
compact,2,one-shot,unstructured,0.25,25.0,0.0,93.33333333333333,98.57142857142857,1.0697088241577148,99.52380952380952,97.14285714285714,100.0,0.9988163265306123,98.80952380952381,100.0,92.6470588235294,100.0,100.0,100.0,0.9959587548062703,1.0
compact,2,one-shot,unstructured,0.5,50.0,0.0,94.52380952380952,67.14285714285714,1.0697088241577148,98.0952380952381,88.57142857142857,100.0,0.9965714285714287,96.66666666666667,99.28571428571429,80.82060063224448,95.65217391304348,100.0,100.0,0.9887461077179676,1.0
compact,2,one-shot,unstructured,0.75,75.0,0.0,83.33333333333333,0.0,1.0697088241577148,83.33333333333333,0.0,100.0,0.9921632653061224,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.980691946505814,0.9997211900197179
compact,2,one-shot,structured,0.25,16.341770633397314,16.847826086956523,83.33333333333333,0.0,1.0695600509643555,99.28571428571429,98.57142857142857,99.42857142857143,0.9937142857142858,98.33333333333333,100.0,95.16129032258064,100.0,98.53339898315085,100.0,0.9786681219507991,1.0
compact,2,one-shot,structured,0.5,32.68354126679463,33.69565217391305,83.33333333333333,0.0,1.0695600509643555,95.95238095238095,90.0,97.14285714285714,0.9844489795918367,93.80952380952381,97.85714285714286,82.60697032436163,96.15853658536585,95.23809523809524,98.85714285714286,0.9678645968189987,0.9957689417987071
compact,2,one-shot,structured,0.75,49.02531190019194,50.54347826086956,16.666666666666668,100.0,1.0695600509643555,93.57142857142857,71.42857142857143,98.0,0.9525714285714285,91.19047619047619,95.71428571428571,60.286764705882355,80.59701492537313,96.42807813733228,99.41348973607037,0.9092424401626381,0.9828075053697635
compact,2,iterative,unstructured,0.7521241088917505,75.21255698176583,0.0,,,1.0692758560180664,99.28571428571429,95.71428571428571,100.0,0.9982857142857143,98.33333333333333,100.0,90.27435446009389,100.0,100.0,100.0,0.994276664000748,1.0
compact,3,one-shot,unstructured,0.25,25.0,0.0,95.0,92.85714285714286,1.0697088241577148,99.04761904761905,95.71428571428571,99.71428571428571,0.9973877551020408,98.08928571428572,99.76190476190476,90.27777777777777,100.0,99.12023460410558,100.0,0.9916014723596883,1.0
compact,3,one-shot,unstructured,0.5,50.0,0.0,95.0,70.0,1.0697088241577148,99.04761904761905,97.14285714285714,99.42857142857143,0.9973877551020409,98.0952380952381,99.76190476190476,92.3076923076923,100.0,98.55072463768116,100.0,0.9926804520323492,1.0
compact,3,one-shot,unstructured,0.75,75.0,0.0,83.33333333333333,0.0,1.0697088241577148,83.33333333333333,0.0,100.0,0.9893469387755103,79.75595238095238,86.91071428571428,0.0,0.0,100.0,100.0,0.9773374296962987,0.9975360851886326
