arch,seed,base,quant,size_mb,acc,sens,spec,auc,acc_lo,acc_hi,sens_lo,sens_hi,spec_lo,spec_hi,auc_lo,auc_hi
full,2,fp32,int8_dynamic,13.53229808807373,88.80952380952381,85.71428571428571,89.42857142857143,0.9568163265306123,85.71428571428571,91.66666666666667,76.47058823529412,93.42159188955996,85.92364832979405,92.55037778005185,0.9287309897583828,0.981010273179333
full,2,pruned25,fp16,8.314806938171387,88.80952380952381,90.0,88.57142857142857,0.970530612244898,85.47619047619048,91.67261904761905,82.34891216760677,96.10514485514486,85.02989783145574,91.88464438301081,0.9486162378007631,0.9881000435693806
full,2,pruned25,int8_dynamic,13.53290843963623,88.80952380952381,90.0,88.57142857142857,0.9705714285714285,85.47619047619048,91.67261904761905,82.34891216760677,96.10514485514486,85.02989783145574,91.88464438301081,0.9484870534856339,0.9883343703760394
full,3,fp32,fp16,8.314326286315918,93.0952380952381,90.0,93.71428571428571,0.9798367346938777,90.71428571428571,95.47619047619048,82.34891216760677,96.10514485514486,91.19318181818181,96.14271855740698,0.964309898627815,0.991791440483482
full,3,fp32,int8_dynamic,13.53229808807373,93.0952380952381,90.0,93.71428571428571,0.9796734693877551,90.71428571428571,95.47619047619048,82.34891216760677,96.10514485514486,91.19318181818181,96.14271855740698,0.9641126988377487,0.9917360195486697
full,3,pruned25,fp16,8.314806938171387,95.47619047619048,91.42857142857143,96.28571428571429,0.9856530612244897,93.33333333333333,97.14285714285714,84.37276785714286,97.18407668231612,94.067733742393,98.01136363636364,0.9733352354393942,0.9948864431587722
full,3,pruned25,int8_dynamic,13.53290843963623,95.71428571428571,91.42857142857143,96.57142857142857,0.9857551020408163,93.57142857142857,97.38095238095238,84.37276785714286,97.18407668231612,94.48843436908444,98.28080229226362,0.9734036269937814,0.9950016390180004
full,4,fp32,fp16,8.314326286315918,96.9047619047619,87.14285714285714,98.85714285714286,0.983,95.23809523809524,98.33333333333333,79.16511194029852,94.44444444444444,97.48568043437324,99.72067039106145,0.9693054659585305,0.9940375089029632
full,4,fp32,int8_dynamic,13.53229808807373,96.9047619047619,87.14285714285714,98.85714285714286,0.982938775510204,95.23809523809524,98.33333333333333,79.16511194029852,94.44444444444444,97.48568043437324,99.72067039106145,0.9689753918958889,0.9939435739029155
full,4,pruned25,fp16,8.314806938171387,89.76190476190476,92.85714285714286,89.14285714285714,0.9773469387755102,86.9047619047619,92.61904761904762,85.71428571428571,98.41391941391942,85.79869295050354,92.10544848035582,0.9581710424266326,0.9919011926328503
full,4,pruned25,int8_dynamic,13.53290843963623,89.76190476190476,92.85714285714286,89.14285714285714,0.9773061224489796,86.9047619047619,92.61904761904762,85.71428571428571,98.41391941391942,85.79869295050354,92.10544848035582,0.9582021923727357,0.9918223460482936
